disease,symptoms
eye alignment disorder,"double vision,diminished vision,pain in eye,irregular appearing scalp,eye moves abnormally,lack of growth,symptoms of eye"
problem during pregnancy,"cramps and spasms,pelvic pain,vomiting,lower abdominal pain,problems during pregnancy,headache,spotting or bleeding during pregnancy"
diabetic retinopathy,"double vision,lacrimation,spots or clouds in vision,symptoms of eye,foreign body sensation in eye,abnormal movement of eyelid"
acute pancreatitis,"lower body pain,vomiting,abusing alcohol,nausea,burning abdominal pain,diarrhea,back pain"
asthma,"cough,coryza,coughing up sputum,shortness of breath,sharp chest pain"
choledocholithiasis,"sharp chest pain,side pain,vomiting,upper abdominal pain,jaundice,nausea,chills"
injury to the abdomen,"back pain,sharp chest pain,leg pain,blood in urine"
panic disorder,"palpitations,breathing fast,irregular heartbeat,shortness of breath"
eating disorder,"insomnia,depressive or psychotic symptoms,difficulty eating,anxiety and nervousness,depression,abusing alcohol"
pyelonephritis,"painful urination,blood in urine,lower abdominal pain,back pain"
eye alignment disorder,"double vision,symptoms of eye,irregular appearing scalp,eye deviation"
vaginitis,"vaginal redness,vaginal discharge,lower abdominal pain,sharp abdominal pain"
ischemia of the bowel,"constipation,nausea,sharp abdominal pain,blood in stool"
ischemia of the bowel,"sharp abdominal pain,vomiting,nausea,blood in stool,constipation"
transient ischemic attack,"symptoms of the face,loss of sensation,headache,depressive or psychotic symptoms,difficulty speaking,focal weakness"
sick sinus syndrome,"shortness of breath,increased heart rate,irregular heartbeat,fainting,dizziness"
acute pancreatitis,"sharp chest pain,back pain,vomiting,abusing alcohol,diarrhea,sharp abdominal pain,side pain"
vaginitis,"pelvic pain,vaginal discharge,vaginal pain,lower abdominal pain,pain during pregnancy,vaginal itching,pain during intercourse,vaginal redness"
choledocholithiasis,"jaundice,vomiting,decreased appetite,upper abdominal pain,sharp chest pain,chills"
eating disorder,"abusing alcohol,acne or pimples,insomnia"
glaucoma,"pain in eye,itchiness of eye,diminished vision"
pyelonephritis,"vomiting,sharp abdominal pain,suprapubic pain,painful urination,back pain,lower abdominal pain,frequent urination,side pain,nausea"
vaginitis,"pain during intercourse,vaginal pain,pelvic pain,sharp abdominal pain"
fibromyalgia,"ache all over,low back pain,leg pain,muscle pain"
atrophic vaginitis,"painful urination,vaginal itching,blood in urine,involuntary urination"
vaginitis,"sharp abdominal pain,pelvic pain,lower abdominal pain,vaginal pain,pain during intercourse,vaginal discharge"
eye alignment disorder,"eye deviation,diminished vision,lack of growth,double vision,irregular appearing scalp"
pyelonephritis,"vomiting,suprapubic pain,sharp abdominal pain,lower abdominal pain,blood in urine,nausea"
fracture of the hand,"wrist stiffness or tightness,wrist pain,hand or finger pain,hand or finger stiffness or tightness,arm pain"
chronic pain disorder,"headache,pelvic pain,knee pain,shoulder pain,low back pain"
thoracic aortic aneurysm,"shortness of breath,chest tightness"
vaginitis,"suprapubic pain,sharp abdominal pain,pain during intercourse,pelvic pain"
eye alignment disorder,"eye moves abnormally,irregular appearing scalp,lack of growth,pain in eye,symptoms of eye,diminished vision"
choledocholithiasis,"jaundice,vomiting,sharp chest pain,decreased appetite,sharp abdominal pain,upper abdominal pain,chills"
vaginitis,"painful urination,vaginal discharge,vaginal itching,pelvic pain,pain during pregnancy,vaginal pain,pain during intercourse"
pyelonephritis,"vomiting,nausea,back pain,suprapubic pain,sharp abdominal pain,blood in urine,side pain,frequent urination"
ischemia of the bowel,"blood in stool,retention of urine,burning abdominal pain,constipation"
transient ischemic attack,"symptoms of the face,headache,weakness,loss of sensation,disturbance of memory"
diabetic retinopathy,"double vision,itchiness of eye,pain in eye,symptoms of eye,foreign body sensation in eye"
vaginitis,"pain during intercourse,vaginal redness,pain during pregnancy,sharp abdominal pain,vaginal discharge,vaginal itching"
diabetic retinopathy,"itchiness of eye,lacrimation,pain in eye,foreign body sensation in eye,spots or clouds in vision"
problem during pregnancy,"headache,pelvic pain,pain during pregnancy,spotting or bleeding during pregnancy"
peritonitis,"sharp abdominal pain,groin mass,vomiting,nausea,shortness of breath"
panic disorder,"shortness of breath,breathing fast,depression,insomnia,palpitations,irregular heartbeat,depressive or psychotic symptoms"
vaginitis,"lower abdominal pain,pain during intercourse,vaginal pain,vaginal redness,vaginal discharge,vaginal itching"
vaginitis,"vaginal redness,pain during pregnancy,pain during intercourse,vaginal itching"
transient ischemic attack,"focal weakness,paresthesia,loss of sensation,headache"
cirrhosis,"shortness of breath,blood in stool,vomiting blood,upper abdominal pain,peripheral edema,sharp abdominal pain"
eating disorder,"abusing alcohol,weight gain,anxiety and nervousness,acne or pimples,decreased appetite"
acute pancreatitis,"lower body pain,diarrhea,hemoptysis,vomiting,sharp chest pain,upper abdominal pain"
thrombophlebitis,"leg pain,ache all over,lymphedema,leg swelling"
diabetic retinopathy,"foreign body sensation in eye,double vision,spots or clouds in vision,itchiness of eye,symptoms of eye"
problem during pregnancy,"back pain,cramps and spasms,sharp abdominal pain,spotting or bleeding during pregnancy,pelvic pain,pain during pregnancy,vomiting,lower abdominal pain"
injury to the hand,"joint pain,skin growth,wrist pain,hand or finger swelling,wrist swelling"
eating disorder,"abusing alcohol,acne or pimples,weight gain,depression,decreased appetite"
vaginitis,"vaginal itching,pain during pregnancy,vaginal pain,pain during intercourse,vaginal redness"
problem during pregnancy,"lower abdominal pain,spotting or bleeding during pregnancy,headache"
glaucoma,"itchiness of eye,spots or clouds in vision,lacrimation,symptoms of eye,diminished vision"
thrombophlebitis,"skin swelling,lymphedema,leg swelling"
ischemia of the bowel,"burning abdominal pain,sharp abdominal pain,constipation,vomiting,nausea,retention of urine"
vaginitis,"lower abdominal pain,vaginal discharge,vaginal pain,pain during intercourse,suprapubic pain,vaginal itching,pelvic pain"
acute pancreatitis,"sharp abdominal pain,upper abdominal pain,sharp chest pain,diarrhea,burning abdominal pain,nausea"
chronic pain disorder,"leg pain,sharp abdominal pain,knee pain,low back pain,pelvic pain,ache all over"
eating disorder,"depression,abusing alcohol,acne or pimples,anxiety and nervousness"
tinnitus of unknown cause,"ringing in ear,plugged feeling in ear,dizziness,hoarse voice,ear pain"
glaucoma,"lacrimation,symptoms of eye,foreign body sensation in eye,spots or clouds in vision,pain in eye,itchy eyelid"
injury to the hand,"wrist swelling,hand or finger pain,joint pain"
chronic pain disorder,"back pain,ache all over,leg pain"
acute pancreatitis,"abusing alcohol,sharp chest pain,hemoptysis,lower body pain,side pain,nausea,upper abdominal pain,diarrhea"
acute pancreatitis,"back pain,side pain,abusing alcohol,lower body pain"
panic disorder,"chest tightness,abnormal involuntary movements,insomnia,shortness of breath,breathing fast,palpitations"
asthma,"coryza,difficulty breathing,allergic reaction,coughing up sputum,cough"
poisoning due to ethylene glycol,"depression,depressive or psychotic symptoms,fainting"
eating disorder,"abusing alcohol,difficulty eating,weight gain,acne or pimples,decreased appetite"
panic disorder,"breathing fast,anxiety and nervousness,shortness of breath,depressive or psychotic symptoms,dizziness,depression,chest tightness"
chronic pain disorder,"knee pain,back pain,leg pain,sharp abdominal pain,low back pain"
salivary gland disorder,"sore throat,swollen lymph nodes,cough"
panic disorder,"dizziness,depressive or psychotic symptoms,shortness of breath,breathing fast,insomnia,palpitations"
acute pancreatitis,"burning abdominal pain,abusing alcohol,sharp abdominal pain,nausea,hemoptysis,back pain,sharp chest pain,diarrhea"
problem during pregnancy,"spotting or bleeding during pregnancy,sharp abdominal pain,vomiting,nausea,pain during pregnancy,lower abdominal pain"
acute pancreatitis,"nausea,sharp abdominal pain,abusing alcohol,hemoptysis,upper abdominal pain,side pain,sharp chest pain,vomiting,burning abdominal pain"
fibromyalgia,"hip pain,headache,arm pain,low back pain"
thoracic aortic aneurysm,"chest tightness,shortness of breath,sharp abdominal pain,jaundice,sharp chest pain"
choledocholithiasis,"decreased appetite,chills,jaundice,sharp chest pain,side pain,upper abdominal pain,vomiting,nausea"
problem during pregnancy,"spotting or bleeding during pregnancy,lower abdominal pain,vomiting,pelvic pain,pain during pregnancy,problems during pregnancy,nausea"
vaginitis,"lower abdominal pain,vaginal redness,pelvic pain,pain during intercourse,vaginal discharge,sharp abdominal pain,pain during pregnancy,vaginal itching"
vocal cord polyp,"difficulty speaking,throat feels tight,throat swelling"
vaginitis,"painful urination,vaginal itching,vaginal discharge,pain during intercourse,lower abdominal pain,vaginal pain"
acute pancreatitis,"side pain,back pain,nausea,lower body pain"
eye alignment disorder,"irregular appearing scalp,diminished vision"
fibromyalgia,"ache all over,hip pain,back pain,headache"
cirrhosis,"abdominal distention,shortness of breath,vomiting blood,upper abdominal pain,peripheral edema"
cellulitis or abscess of mouth,"difficulty in swallowing,abnormal appearing skin,throat swelling,sore throat"
acute pancreatitis,"lower body pain,sharp abdominal pain,vomiting,diarrhea,nausea,burning abdominal pain,sharp chest pain"
panic disorder,"chest tightness,palpitations,depression,irregular heartbeat,breathing fast"
atrophic vaginitis,"pain during intercourse,involuntary urination,blood in urine,frequent urination"
subdural hemorrhage,"dizziness,facial pain,vomiting"
injury to the hand,"skin growth,wrist pain,wrist swelling,hand or finger stiffness or tightness"
transient ischemic attack,"weakness,focal weakness,paresthesia,disturbance of memory,dizziness,symptoms of the face"
tinnitus of unknown cause,"itchy ear(s),plugged feeling in ear,hoarse voice,ringing in ear,headache"
ischemia of the bowel,"constipation,blood in stool,retention of urine,burning abdominal pain,nausea"
acute pancreatitis,"abusing alcohol,side pain,lower body pain,burning abdominal pain,diarrhea"
eye alignment disorder,"pain in eye,cross-eyed,lack of growth,irregular appearing scalp"
thrombophlebitis,"skin on leg or foot looks infected,arm pain,leg pain,arm swelling,skin swelling,ache all over,foot or toe pain"
cellulitis or abscess of mouth,"abnormal appearing skin,sore throat,difficulty in swallowing,throat swelling,lip swelling"
thrombophlebitis,"arm swelling,foot or toe pain,skin swelling,skin on leg or foot looks infected,leg swelling"
salivary gland disorder,"cough,sore throat,throat feels tight"
asthma,"shortness of breath,fever,chest tightness,wheezing,allergic reaction"
osteochondrosis,"elbow pain,ankle pain,knee pain"
poisoning due to ethylene glycol,"abusing alcohol,depression,fainting"
cirrhosis,"blood in stool,upper abdominal pain,abdominal distention,vomiting blood"
chronic pain disorder,"hip pain,pelvic pain,headache,low back pain,leg pain"
tinnitus of unknown cause,"hoarse voice,diminished hearing,headache,plugged feeling in ear,itchy ear(s)"
panic disorder,"depressive or psychotic symptoms,dizziness,depression,irregular heartbeat,abnormal involuntary movements"
vaginitis,"pain during intercourse,pelvic pain,suprapubic pain,sharp abdominal pain"
ischemia of the bowel,"retention of urine,constipation,nausea,blood in stool"
fracture of the hand,"wrist swelling,hand or finger swelling,wrist pain,arm pain,wrist stiffness or tightness"
pyelonephritis,"low back pain,suprapubic pain,nausea,lower abdominal pain,side pain,blood in urine,frequent urination,painful urination"
peritonitis,"vomiting,groin mass,sharp abdominal pain,intermenstrual bleeding,back pain"
eye alignment disorder,"diminished vision,double vision,pain in eye,irregular appearing scalp,lack of growth"
acute pancreatitis,"sharp abdominal pain,back pain,upper abdominal pain,sharp chest pain,side pain,nausea,lower body pain"
eating disorder,"insomnia,abusing alcohol,difficulty eating,depression,acne or pimples,depressive or psychotic symptoms,anxiety and nervousness"
fracture of the hand,"wrist swelling,wrist stiffness or tightness,arm pain,arm stiffness or tightness,hand or finger pain"
vaginitis,"vaginal itching,pain during pregnancy,vaginal pain,vaginal discharge,pain during intercourse,vaginal redness,suprapubic pain"
pyelonephritis,"nausea,sharp abdominal pain,suprapubic pain,lower abdominal pain"
osteochondrosis,"knee pain,elbow pain"
panic disorder,"depressive or psychotic symptoms,irregular heartbeat,breathing fast,palpitations,anxiety and nervousness,shortness of breath"
metabolic disorder,"jaundice,arm stiffness or tightness,smoking problems"
pyelonephritis,"vomiting,nausea,lower abdominal pain,suprapubic pain,blood in urine,side pain"
cellulitis or abscess of mouth,"toothache,sore throat,abnormal appearing skin,throat swelling,difficulty in swallowing,lip swelling"
acute pancreatitis,"diarrhea,burning abdominal pain,back pain,sharp abdominal pain"
fibromyalgia,"hip pain,headache,neck pain,back pain,leg pain,sharp chest pain"
eye alignment disorder,"symptoms of eye,lack of growth,double vision,eye moves abnormally,cross-eyed"
fibromyalgia,"muscle pain,sharp chest pain,low back pain,leg pain,hip pain"
asthma,"fever,cough,shortness of breath,difficulty breathing,coryza,sharp chest pain,allergic reaction,nasal congestion,wheezing"
cellulitis or abscess of mouth,"throat swelling,abnormal appearing skin,skin growth,difficulty in swallowing,lip swelling"
transient ischemic attack,"depressive or psychotic symptoms,focal weakness"
peritonitis,"back pain,shortness of breath,vomiting,side pain"
problem during pregnancy,"back pain,problems during pregnancy,pelvic pain,spotting or bleeding during pregnancy,headache,pain during pregnancy,nausea,cramps and spasms"
atrophic vaginitis,"painful urination,vaginal discharge,vaginal itching"
choledocholithiasis,"sharp chest pain,sharp abdominal pain"
asthma,"coughing up sputum,fever,chest tightness,nasal congestion,cough,shortness of breath,allergic reaction"
choledocholithiasis,"side pain,vomiting,sharp chest pain,jaundice,nausea"
diabetic retinopathy,"foreign body sensation in eye,spots or clouds in vision,diminished vision,symptoms of eye,itchiness of eye"
chronic pain disorder,"leg pain,ache all over,shoulder pain,pelvic pain,low back pain,back pain"
eating disorder,"acne or pimples,weight gain,insomnia,abusing alcohol"
problem during pregnancy,"nausea,cramps and spasms,spotting or bleeding during pregnancy,sharp abdominal pain,pain during pregnancy,vomiting"
transient ischemic attack,"headache,disturbance of memory,focal weakness,paresthesia,depressive or psychotic symptoms,symptoms of the face"
pyelonephritis,"low back pain,sharp abdominal pain,suprapubic pain,lower abdominal pain"
rotator cuff injury,"hand or finger stiffness or tightness,shoulder pain,arm stiffness or tightness"
panic disorder,"chest tightness,depressive or psychotic symptoms,abnormal involuntary movements,shortness of breath"
diabetic retinopathy,"lacrimation,double vision,spots or clouds in vision,foreign body sensation in eye,itchiness of eye"
pyelonephritis,"suprapubic pain,painful urination,vomiting,sharp abdominal pain,lower abdominal pain,nausea"
diabetic retinopathy,"itchiness of eye,spots or clouds in vision,foreign body sensation in eye,double vision"
atelectasis,"headache,cough,sore throat,dizziness"
sick sinus syndrome,"increased heart rate,weakness,palpitations,dizziness"
ischemia of the bowel,"vomiting,blood in stool"
acute pancreatitis,"sharp abdominal pain,abusing alcohol,sharp chest pain,vomiting,upper abdominal pain,burning abdominal pain,nausea,back pain"
peritonitis,"side pain,vomiting,intermenstrual bleeding"
panic disorder,"chest tightness,anxiety and nervousness,depression,dizziness,depressive or psychotic symptoms"
eye alignment disorder,"symptoms of eye,lack of growth,pain in eye,double vision"
vaginitis,"vaginal discharge,vaginal itching"
diabetic retinopathy,"abnormal movement of eyelid,itchiness of eye,double vision,pain in eye"
injury to the hand,"hand or finger pain,wrist swelling,hand or finger stiffness or tightness,wrist pain"
transient ischemic attack,"dizziness,disturbance of memory,headache,paresthesia"
acute pancreatitis,"lower body pain,abusing alcohol,back pain,side pain,sharp abdominal pain,hemoptysis"
chronic pain disorder,"low back pain,sharp abdominal pain,pelvic pain,shoulder pain,ache all over,headache"
injury to the knee,"knee pain,leg pain,knee weakness"
thoracic aortic aneurysm,"dizziness,jaundice"
choledocholithiasis,"jaundice,decreased appetite,sharp abdominal pain,chills,upper abdominal pain"
fracture of the hand,"hand or finger stiffness or tightness,wrist stiffness or tightness,arm pain,hand or finger swelling"
atelectasis,"sore throat,dizziness,headache,shortness of breath"
glaucoma,"lacrimation,itchy eyelid,itchiness of eye,symptoms of eye,foreign body sensation in eye"
acute pancreatitis,"abusing alcohol,nausea,sharp chest pain,back pain,upper abdominal pain,diarrhea,sharp abdominal pain,lower body pain,vomiting"
sick sinus syndrome,"increased heart rate,palpitations,irregular heartbeat,shortness of breath"
tinnitus of unknown cause,"ear pain,diminished hearing,plugged feeling in ear,itchy ear(s),ringing in ear,hoarse voice"
eye alignment disorder,"diminished vision,double vision,pain in eye,eye moves abnormally,symptoms of eye,irregular appearing scalp"
choledocholithiasis,"side pain,chills,sharp chest pain,nausea"
peritonitis,"vomiting,side pain,shortness of breath,back pain,groin mass,sharp abdominal pain"
atelectasis,"cough,sore throat,headache,dizziness"
diabetic retinopathy,"lacrimation,symptoms of eye,foreign body sensation in eye,abnormal movement of eyelid"
panic disorder,"shortness of breath,chest tightness,depressive or psychotic symptoms,depression,irregular heartbeat,dizziness,palpitations,anxiety and nervousness"
rotator cuff injury,"shoulder weakness,hand or finger stiffness or tightness,arm pain"
atrophic vaginitis,"suprapubic pain,vaginal discharge,frequent urination,vaginal itching"
asthma,"coryza,cough,wheezing,coughing up sputum,difficulty breathing,fever"
panic disorder,"irregular heartbeat,depressive or psychotic symptoms,shortness of breath,breathing fast,dizziness,anxiety and nervousness"
diabetic retinopathy,"lacrimation,foreign body sensation in eye,abnormal movement of eyelid,spots or clouds in vision,pain in eye"
panic disorder,"anxiety and nervousness,depression,breathing fast,depressive or psychotic symptoms,palpitations,irregular heartbeat"
cellulitis or abscess of mouth,"sore throat,abnormal appearing skin,throat swelling,difficulty in swallowing,toothache,skin growth"
eye alignment disorder,"eye deviation,symptoms of eye,eye moves abnormally,lack of growth,diminished vision,pain in eye"
thrombophlebitis,"arm pain,leg pain,leg swelling,skin on leg or foot looks infected"
thoracic aortic aneurysm,"sharp abdominal pain,chest tightness,dizziness,sharp chest pain"
acute pancreatitis,"hemoptysis,diarrhea,burning abdominal pain,lower body pain,side pain,nausea"
fibromyalgia,"back pain,hip pain,headache"
cirrhosis,"shortness of breath,abdominal distention,upper abdominal pain,blood in stool"
acute pancreatitis,"sharp abdominal pain,back pain,abusing alcohol,lower body pain"
problem during pregnancy,"spotting or bleeding during pregnancy,pelvic pain,back pain,problems during pregnancy,lower abdominal pain"
tinnitus of unknown cause,"hoarse voice,headache,dizziness,ear pain,itchy ear(s)"
injury to the hand,"skin growth,joint pain,hand or finger pain,hand or finger stiffness or tightness,hand or finger swelling,wrist swelling"
chronic pain disorder,"ache all over,leg pain,shoulder pain,sharp abdominal pain,back pain,knee pain"
choledocholithiasis,"jaundice,sharp abdominal pain,upper abdominal pain,decreased appetite,sharp chest pain,side pain,vomiting"
asthma,"nasal congestion,wheezing,chest tightness,coughing up sputum,coryza,sharp chest pain,difficulty breathing,allergic reaction,fever,cough"
diabetic retinopathy,"foreign body sensation in eye,pain in eye,lacrimation,symptoms of eye,spots or clouds in vision,diminished vision,itchiness of eye"
vocal cord polyp,"throat swelling,throat feels tight,difficulty speaking,sore throat"
choledocholithiasis,"upper abdominal pain,jaundice,sharp chest pain"
glaucoma,"foreign body sensation in eye,itchiness of eye,spots or clouds in vision,lacrimation,pain in eye"
vocal cord polyp,"hoarse voice,throat swelling,throat feels tight"
pyelonephritis,"nausea,lower abdominal pain,suprapubic pain,side pain,painful urination,low back pain,back pain,sharp abdominal pain,frequent urination"
panic disorder,"insomnia,depression,chest tightness,shortness of breath"
glaucoma,"eye redness,itchiness of eye,foreign body sensation in eye,symptoms of eye,pain in eye"
peritonitis,"shortness of breath,intermenstrual bleeding,vomiting"
transient ischemic attack,"weakness,difficulty speaking,depressive or psychotic symptoms,focal weakness,loss of sensation,headache"
acute pancreatitis,"diarrhea,vomiting,nausea,upper abdominal pain,abusing alcohol,side pain"
glaucoma,"symptoms of eye,itchy eyelid,itchiness of eye,eye redness"
fibromyalgia,"headache,neck pain,low back pain,hip pain,back pain,muscle pain"
thrombophlebitis,"skin on leg or foot looks infected,skin swelling,arm swelling"
cirrhosis,"shortness of breath,vomiting blood,upper abdominal pain"
pyelonephritis,"blood in urine,sharp abdominal pain,suprapubic pain,side pain,lower abdominal pain,vomiting,back pain"
problem during pregnancy,"lower abdominal pain,back pain,headache,vomiting,cramps and spasms"
glaucoma,"diminished vision,itchiness of eye,foreign body sensation in eye,spots or clouds in vision,lacrimation"
panic disorder,"palpitations,depressive or psychotic symptoms,anxiety and nervousness"
glaucoma,"foreign body sensation in eye,pain in eye,itchy eyelid,symptoms of eye,diminished vision,lacrimation,eye redness"
problem during pregnancy,"lower abdominal pain,nausea,back pain,pain during pregnancy,pelvic pain"
pyelonephritis,"back pain,lower abdominal pain,frequent urination,side pain,low back pain,vomiting,nausea,sharp abdominal pain,painful urination"
eye alignment disorder,"pain in eye,irregular appearing scalp,double vision,symptoms of eye,cross-eyed,diminished vision,eye deviation"
vaginitis,"vaginal itching,pain during intercourse,suprapubic pain,pelvic pain"
problem during pregnancy,"headache,problems during pregnancy,cramps and spasms,pelvic pain,spotting or bleeding during pregnancy,nausea,lower abdominal pain,back pain"
acute pancreatitis,"sharp abdominal pain,diarrhea,hemoptysis,nausea,sharp chest pain,vomiting,abusing alcohol,back pain"
cirrhosis,"blood in stool,abdominal distention,sharp abdominal pain"
ischemia of the bowel,"retention of urine,nausea,burning abdominal pain,blood in stool,vomiting,sharp abdominal pain"
pyelonephritis,"lower abdominal pain,back pain,nausea,sharp abdominal pain,painful urination,low back pain,frequent urination,suprapubic pain,vomiting"
acute pancreatitis,"abusing alcohol,diarrhea,sharp chest pain,hemoptysis,sharp abdominal pain,back pain,side pain"
pyelonephritis,"back pain,vomiting,sharp abdominal pain,nausea,low back pain,side pain"
eye alignment disorder,"cross-eyed,eye deviation,irregular appearing scalp,symptoms of eye"
fibromyalgia,"hip pain,headache,ache all over,arm pain,sharp chest pain,low back pain"
diabetic retinopathy,"foreign body sensation in eye,itchiness of eye,abnormal movement of eyelid,pain in eye,double vision"
thoracic aortic aneurysm,"chest tightness,fatigue,jaundice"
fibromyalgia,"leg pain,arm pain,headache,low back pain,sharp chest pain"
glaucoma,"spots or clouds in vision,diminished vision,lacrimation,eye redness,symptoms of eye,itchy eyelid"
pyelonephritis,"sharp abdominal pain,painful urination,side pain,blood in urine,suprapubic pain,back pain,lower abdominal pain"
acute pancreatitis,"vomiting,abusing alcohol,burning abdominal pain"
panic disorder,"shortness of breath,anxiety and nervousness,chest tightness,dizziness,insomnia,irregular heartbeat,palpitations"
acute pancreatitis,"burning abdominal pain,diarrhea,abusing alcohol,lower body pain,vomiting,sharp chest pain,sharp abdominal pain,hemoptysis,back pain"
peritonitis,"side pain,intermenstrual bleeding,nausea,groin mass"
panic disorder,"shortness of breath,irregular heartbeat,dizziness,insomnia,chest tightness,depressive or psychotic symptoms"
choledocholithiasis,"vomiting,chills,upper abdominal pain,jaundice,sharp chest pain,decreased appetite"
eye alignment disorder,"double vision,symptoms of eye,diminished vision"
choledocholithiasis,"sharp abdominal pain,jaundice,vomiting,decreased appetite,chills,sharp chest pain"
problem during pregnancy,"spotting or bleeding during pregnancy,sharp abdominal pain,cramps and spasms,back pain,pelvic pain"
eye alignment disorder,"pain in eye,eye deviation,irregular appearing scalp,symptoms of eye,lack of growth,diminished vision"
asthma,"shortness of breath,cough,chest tightness,nasal congestion,coughing up sputum,fever"
asthma,"sharp chest pain,coryza,difficulty breathing,wheezing,allergic reaction,nasal congestion,coughing up sputum,chest tightness"
transient ischemic attack,"paresthesia,loss of sensation,symptoms of the face,headache,depressive or psychotic symptoms"
problem during pregnancy,"cramps and spasms,lower abdominal pain,nausea,spotting or bleeding during pregnancy,pain during pregnancy,pelvic pain"
eating disorder,"difficulty eating,insomnia,depressive or psychotic symptoms,anxiety and nervousness,acne or pimples,depression,decreased appetite"
osteochondrosis,"ankle pain,elbow pain,bowlegged or knock-kneed,hand or finger pain"
acute pancreatitis,"hemoptysis,diarrhea,burning abdominal pain,side pain,abusing alcohol,sharp chest pain,lower body pain,vomiting,nausea"
asthma,"difficulty breathing,coughing up sputum,fever,shortness of breath"
chronic pain disorder,"knee pain,low back pain,headache,leg pain,sharp abdominal pain,back pain,ache all over"
transient ischemic attack,"weakness,loss of sensation,disturbance of memory,difficulty speaking,focal weakness"
vaginitis,"pain during intercourse,vaginal redness,suprapubic pain,pain during pregnancy,vaginal discharge,vaginal itching,pelvic pain,lower abdominal pain"
atrophic vaginitis,"involuntary urination,vaginal discharge,suprapubic pain,blood in urine"
fibromyalgia,"arm pain,sharp chest pain,hip pain,back pain,low back pain"
problem during pregnancy,"lower abdominal pain,spotting or bleeding during pregnancy,pelvic pain,problems during pregnancy,back pain,sharp abdominal pain"
fibromyalgia,"back pain,ache all over,arm pain,hip pain"
thrombophlebitis,"arm swelling,arm pain,leg swelling,foot or toe pain,leg pain,skin swelling"
pyelonephritis,"back pain,low back pain,lower abdominal pain,frequent urination,side pain,sharp abdominal pain"
panic disorder,"depressive or psychotic symptoms,depression,abnormal involuntary movements,insomnia,irregular heartbeat,palpitations,dizziness,anxiety and nervousness"
choledocholithiasis,"vomiting,sharp abdominal pain,nausea,decreased appetite,sharp chest pain,chills"
ischemia of the bowel,"nausea,blood in stool,vomiting"
injury to the hand,"hand or finger swelling,joint pain,hand or finger stiffness or tightness,skin growth,hand or finger pain"
acute pancreatitis,"sharp chest pain,hemoptysis,side pain,nausea,vomiting"
panic disorder,"chest tightness,dizziness,palpitations,depression,irregular heartbeat,abnormal involuntary movements"
thrombophlebitis,"leg swelling,skin swelling,arm pain,arm swelling,skin on leg or foot looks infected,lymphedema"
peritonitis,"groin mass,nausea,back pain,side pain,shortness of breath"
acute pancreatitis,"upper abdominal pain,hemoptysis,sharp chest pain,diarrhea,side pain,back pain"
acute pancreatitis,"upper abdominal pain,lower body pain,vomiting,abusing alcohol,diarrhea,sharp abdominal pain"
asthma,sharp chest pain
acute pancreatitis,"burning abdominal pain,diarrhea,vomiting,upper abdominal pain,lower body pain,hemoptysis"
vaginitis,"sharp abdominal pain,painful urination,pelvic pain,pain during intercourse,suprapubic pain"
atrophic vaginitis,"painful urination,suprapubic pain,involuntary urination,vaginal itching,blood in urine"
acute pancreatitis,"back pain,sharp chest pain,diarrhea,sharp abdominal pain,abusing alcohol,upper abdominal pain"
headache after lumbar puncture,"painful urination,vomiting,headache,neck pain"
poisoning due to ethylene glycol,"depressive or psychotic symptoms,abusing alcohol,depression,fainting"
pyelonephritis,"sharp abdominal pain,low back pain,back pain,vomiting"
pyelonephritis,"side pain,painful urination,back pain,vomiting,lower abdominal pain"
fibromyalgia,"headache,muscle pain,sharp chest pain,low back pain,leg pain,back pain,arm pain"
acute pancreatitis,"abusing alcohol,sharp chest pain,sharp abdominal pain"
ischemia of the bowel,"vomiting,burning abdominal pain,constipation,blood in stool,nausea,retention of urine"
ischemia of the bowel,"burning abdominal pain,retention of urine,blood in stool,vomiting"
asthma,"sharp chest pain,coughing up sputum,nasal congestion,allergic reaction,chest tightness,coryza,shortness of breath,wheezing"
panic disorder,"shortness of breath,anxiety and nervousness,dizziness,abnormal involuntary movements"
panic disorder,"breathing fast,anxiety and nervousness,shortness of breath,abnormal involuntary movements,chest tightness,depression"
panic disorder,"dizziness,anxiety and nervousness,abnormal involuntary movements,breathing fast,shortness of breath"
choledocholithiasis,"jaundice,sharp abdominal pain,upper abdominal pain,decreased appetite,vomiting"
panic disorder,"palpitations,breathing fast,irregular heartbeat,abnormal involuntary movements,depressive or psychotic symptoms,chest tightness,insomnia,depression,dizziness"
acute pancreatitis,"vomiting,abusing alcohol,burning abdominal pain,sharp chest pain,sharp abdominal pain,nausea,diarrhea"
thrombophlebitis,"skin swelling,arm swelling,lymphedema,skin on leg or foot looks infected"
poisoning due to ethylene glycol,"depressive or psychotic symptoms,depression,abusing alcohol"
thoracic aortic aneurysm,"sharp abdominal pain,chest tightness"
vaginitis,"painful urination,sharp abdominal pain,pain during intercourse,lower abdominal pain,vaginal redness"
atelectasis,"sharp chest pain,cough,shortness of breath,headache"
ischemia of the bowel,"constipation,vomiting,retention of urine,nausea,burning abdominal pain"
peritonitis,"shortness of breath,sharp abdominal pain,side pain,intermenstrual bleeding,back pain"
subdural hemorrhage,"vomiting,dizziness,facial pain,irritable infant"
acute pancreatitis,"sharp abdominal pain,upper abdominal pain,abusing alcohol,side pain,vomiting,burning abdominal pain,nausea,sharp chest pain,back pain,diarrhea,hemoptysis"
